Country,Value
Afghanistan,20116.14
Albania,14887.63
Algeria,145009.18
American Samoa,709.00
Angola,58375.98
Antigua and Barbuda,1370.28
Argentina,389288.06
Armenia,12641.21
Australia,1327836.17
Austria,433258.47
Azerbaijan,42607.18
"Bahamas, The",9907.50
Bahrain,34729.23
Bangladesh,323056.96
Barbados,4418.00
Belarus,60258.24
Belgium,521861.29
Belize,1636.28
Benin,15651.55
Bermuda,6842.70
Bhutan,2315.44
Bolivia,36572.76
Bosnia and Herzegovina,19946.50
Botswana,15061.92
Brazil,1444733.26
Brunei Darussalam,12005.83
Bulgaria,69889.35
Burkina Faso,17933.61
Burundi,2841.79
Cabo Verde,1703.70
Cambodia,25808.56
Cameroon,40804.45
Canada,1645423.41
Cayman Islands,5591.62
Central African Republic,2380.09
Chad,10829.08
Chile,252940.02
China,14722730.70
Colombia,271437.60
Comoros,1235.40
"Congo, Dem. Rep.",48716.96
"Congo, Rep.",10187.12
Costa Rica,61846.90
Cote d'Ivoire,61348.58
Croatia,57203.78
Cuba,107352.00
Curacao,2595.82
Cyprus,24612.65
Czech Republic,245339.32
Denmark,356084.87
Djibouti,3384.39
Dominica,504.21
Dominican Republic,78844.70
Ecuador,98808.01
"Egypt, Arab Rep.",365252.65
El Salvador,24638.72
Equatorial Guinea,10021.86
Estonia,30650.29
Eswatini,3972.73
Ethiopia,107645.05
Fiji,4533.88
Finland,269594.83
France,2630317.73
Gabon,15316.83
"Gambia, The",1868.09
Georgia,15846.49
Germany,3846413.93
Ghana,68532.28
Greece,188835.20
Grenada,1042.10
Guam,5844.00
Guatemala,77604.63
Guinea,15681.05
Guinea-Bissau,1431.76
Guyana,5471.26
Haiti,14508.22
Honduras,23662.23
"Hong Kong SAR, China",346585.88
Hungary,155808.44
Iceland,21718.08
India,2660245.25
Indonesia,1058423.84
"Iran, Islamic Rep.",203471.30
Iraq,166756.98
Ireland,425888.95
Israel,407100.74
Italy,1888709.44
Jamaica,13812.43
Japan,5057758.96
Jordan,43697.66
Kazakhstan,171082.38
Kenya,101013.73
Kiribati,197.51
"Korea, Rep.",1637895.80
Kosovo,7716.93
Kuwait,105960.23
Kyrgyz Republic,7735.98
Lao PDR,19132.64
Latvia,33707.32
Lebanon,31735.22
Lesotho,1875.23
Liberia,3201.19
Libya,25418.92
Lithuania,56546.96
Luxembourg,73353.13
"Macao SAR, China",25586.11
Madagascar,13056.08
Malawi,12182.35
Malaysia,337006.07
Maldives,3742.77
Mali,17465.39
Malta,14647.38
Marshall Islands,244.46
Mauritania,7913.68
Mauritius,10920.61
Mexico,1073915.88
"Micronesia, Fed. Sts.",410.08
Moldova,11915.55
Monaco,6816.22
Mongolia,13312.98
Montenegro,4769.86
Morocco,114725.07
Mozambique,14019.45
Myanmar,79852.05
Namibia,10619.19
Nauru,114.63
Nepal,33657.18
Netherlands,913865.40
New Zealand,210700.85
Nicaragua,12621.51
Niger,13741.38
Nigeria,432293.78
North Macedonia,12263.71
Norway,362198.32
Oman,73971.39
Pakistan,262610.00
Palau,257.70
Panama,53977.04
Papua New Guinea,24668.90
Paraguay,35670.30
Peru,202014.36
Philippines,361489.33
Poland,596624.36
Portugal,228539.25
Puerto Rico,103138.30
Qatar,144411.36
Romania,248715.55
Russian Federation,1483497.78
Rwanda,10333.99
Samoa,807.10
Sao Tome and Principe,472.91
Saudi Arabia,700117.87
Senegal,24644.23
Serbia,53335.02
Seychelles,1059.89
Sierra Leone,4063.29
Singapore,339998.48
Slovak Republic,105172.56
Slovenia,53589.61
Solomon Islands,1545.89
Somalia,6965.29
South Africa,335442.10
Spain,1281484.64
Sri Lanka,80676.68
St. Kitts and Nevis,980.74
St. Lucia,1616.77
St. Vincent and the Grenadines,807.47
Sudan,21329.11
Suriname,2884.25
Sweden,541220.06
Switzerland,752248.05
Tajikistan,8194.15
Tanzania,62409.71
Thailand,501643.65
Timor-Leste,1902.16
Togo,7574.64
Tonga,488.83
Trinidad and Tobago,21588.04
Tunisia,41620.35
Turkey,719954.82
Turks and Caicos Islands,924.58
Tuvalu,48.86
Uganda,37600.37
Ukraine,155498.99
United Arab Emirates,358868.77
United Kingdom,2759804.06
United States,20953030.00
Uruguay,53628.83
Uzbekistan,59929.95
Vanuatu,881.55
Vietnam,271158.44
West Bank and Gaza,15561.30
Zambia,18110.63
Zimbabwe,18051.17
